"WONUM","STATUS","STATUSDATE","ZZCREATEDATE","LOCATION","DESCRIPTION","FAILURECODE","PROBLEMCODE","JPNUM","ZZREQNUM","FIRSTAPPRSTATUS","ZZLEADPOSSIBLE","ZZLEAD","ZZSUBWORKTYPE","ZZWORKOWNER","PARENT","PARENTSTATUS","PARENTSTATUSDATE","PARENTCRAFT","PARENTFC","PARENTPC"
"57016650",WTSCH,2018-03-01 08:15:22.000,2018-03-01 08:15:21.000,"038.05.005.F05.05C.FH01",resident request entire apt. for painting,CEILING,NEEDSPAINTING,V10001,,,Y,1,APARTMENT,DEV038,"56919201",CLOSE,2018-03-01 08:15:28.000,PAINTER,CEILING,NEEDSPAINTING
"57118141",WTSCH,2018-03-07 17:44:30.000,2018-03-07 17:44:30.000,"038.05.005.F12.12A",FLOOR - VENDOR,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"57038952",CLOSE,2018-03-07 17:44:57.000,MAINT,FLOOR,FLOORTILESDML
"57263420",WTSCH,2018-03-15 11:00:55.000,2018-03-15 11:00:53.000,"038.11.011.F05.05G.KIT01",floor tiles need replacement,FLOOR,FLOORTILESDML,V10001,,,Y,1,APARTMENT,DEV038,"57134647",CLOSE,2018-03-15 11:01:52.000,MAINT,FLOOR,FLOORTILESDML
"58354280",WTSCH,2018-03-23 09:18:57.000,2018-03-23 09:18:56.000,"038.08.008.F07.07B",tiles dml,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"58125826",CLOSE,2018-03-23 09:18:58.000,MAINT,FLOOR,FLOORTILESDML
"58704722",WTSCH,2018-04-03 14:11:31.000,2018-04-03 14:11:31.000,"038.09.009.F04.04H",FLOOR - VENDOR,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"58585818",CLOSE,2018-04-03 14:26:45.000,MAINT,FLOOR,FLOORTILESDML
"58868141",WTSCH,2018-04-15 15:58:02.000,2018-04-15 15:58:02.000,"038.01.001.F06.06G.FH01",Floor,FLOOR,FLOORTILESDML,V10001,,,W,1,ASSESSMENT,DEV038,"57541015",CLOSE,2018-04-15 20:00:30.000,MAINT,,
"58874632",WTSCH,2018-04-16 09:56:28.000,2018-04-16 09:56:28.000,"038.09.009.F10.10B.FH01",tiles damaged and wall damaged,FLOOR,FLOORTILESDML,V10001,,,Y,1,COURT,DEV038,"58754659",CLOSE,2018-04-16 09:56:30.000,MAINT,FLOOR,FLOORTILESDML
"58892204",WTSCH,2018-04-17 10:26:28.000,2018-04-17 10:26:27.000,"038.05.005.F01.01G",painter follow up,PAINT,NEEDSPAINTING,M10357,,,A,1,PAINT,DEV038,"56507027",CLOSE,2018-02-02 08:23:33.000,PAINTSPV,PAINT,NEEDSPLASTERING
"59056046",APPR,2018-05-01 10:09:35.000,2018-05-01 10:06:49.000,"038.01.001.F12.12F",PAINT - VENDOR,PAINT,NEEDSPAINTING,V10001,"1056130",APPR,Y,1,ASSESSMENT,DEV038,"57540571",CLOSE,2018-05-01 20:25:21.000,MAINT,,
"59381930",WTSCH,2018-05-30 18:35:55.000,2018-05-30 18:35:55.000,"038.06.006.F08.08C.BD01",FLOOR - VENDOR,FLOOR,FLOORTILESDML,V10001,,,W,1,,DEV038,"59303686",CLOSE,2018-05-30 18:38:48.000,MAINT,FLOOR,FLOORTILESDML
"59473579",WTSCH,2018-06-05 18:51:28.000,2018-06-05 18:51:28.000,"038.11.011.F07.07G.KIT01",FLOOR - VENDOR,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"59335489",CLOSE,2018-06-05 18:51:48.000,MAINT,FLOOR,FLOORTILESDML
"59473651",WTSCH,2018-06-05 19:05:06.000,2018-06-05 19:05:06.000,"038.05.005.F03.03H",FLOOR - VENDOR,FLOOR,FLOORCOVERINGDM,V10001,,,Y,1,COURT,DEV038,"59190416",CLOSE,2018-06-05 19:08:36.000,MAINT,FLOOR,FLOORTILESDML
"59741740",WTSCH,2018-06-13 09:17:37.000,2018-06-13 09:17:37.000,"038.07.007.F12.12B.LIV01",resident request new tiles,FLOOR,FLOORTILESDML,V10001,,,Y,1,COURT,DEV038,"59135438",CLOSE,2018-06-13 09:20:42.000,MAINT,FLOOR,FLOORTILESDML
"59646771",APPR,2018-06-14 08:55:54.000,2018-06-12 15:30:30.000,"038.04.004.F05.05F.KIT01",floor tiles damaged,FLOOR,FLOORTILESDML,V10001,"1061662",APPR,Y,1,,DEV038,"59457457",CLOSE,2018-06-12 15:30:32.000,MAINT,FLOOR,FLOORTILESDML
"59774119",WTSCH,2018-06-14 15:18:28.000,2018-06-14 15:18:28.000,"038.12.012.F10.10D.LIV01",needs entire livingroom floor tiles,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"59486788",CLOSE,2018-06-14 15:20:07.000,MAINT,FLOOR,FLOORTILESDML
"59817058",WTSCH,2018-06-19 10:29:53.000,2018-06-19 10:29:52.000,"038.04.004.F14.14D.KIT01","floor tiles needed in kitchen, hallway by the door, and in bedroom 1, the bathroom",FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"59784926",CLOSE,2018-06-19 10:30:23.000,MAINT,FLOOR,FLOORTILESDML
"60358438",WTSCH,2018-07-18 17:19:47.000,2018-07-18 17:19:47.000,"038.13.013.F14.14E.BTH01",FLOOR - VENDOR,FLOOR,FLOORTILESDML,V10001,,,Y,1,COURT,DEV038,"60331166",CLOSE,2018-07-18 17:20:33.000,MAINT,FLOOR,FLOORTILESDML
"60446914",WTSCH,2018-07-26 10:50:01.000,2018-07-26 10:49:59.000,"038.05.005.F02.02H.KIT01",floor tiles uneven,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"60331744",CLOSE,2018-07-26 10:50:05.000,MAINT,FLOOR,FLOORTILESDML
"60459052",WTSCH,2018-07-27 09:22:24.000,2018-07-27 09:22:24.000,"038.04.004.F12.12H.BTH01",tub enamel damaged,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED,V10001,,,Y,1,,DEV038,"60449628",CLOSE,2018-07-27 09:22:28.000,MAINT,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED
"60555130",WTSCH,2018-08-02 08:47:32.000,2018-08-02 08:47:32.000,"038.03.003.F02.02D",FLOOR - VENDOR,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"60300141",CLOSE,2018-08-02 08:48:48.000,MAINT,FLOOR,FLOORTILESDML
"60557970",WTSCH,2018-08-02 10:30:26.000,2018-08-02 10:30:25.000,"038.07.007.F14.14A.KIT01",floor tiles broken uneven floorring,FLOOR,PHASFLOOR,V10001,,,Y,1,COURT,DEV038,"60467711",CLOSE,2018-08-02 10:32:14.000,MAINT,FLOOR,FLOORTILESDML
"60558707",WTSCH,2018-08-02 10:57:32.000,2018-08-02 10:57:30.000,"038.10.010.F14.14B",tennant requesting new tiles throughout kitchen and living room,FLOOR,FLOORTILESDML,V10001,,,Y,1,APARTMENT,DEV038,"60490722",CLOSE,2018-08-02 10:57:36.000,MAINT,FLOOR,FLOORTILESDML
"60572048",WTSCH,2018-08-03 11:38:22.000,2018-08-03 11:38:22.000,"038.01.001.F03.03C",FLOOR - VENDOR... LIVING ROOM,FLOOR,FLOORTILESDML,V10001,,,W,1,,DEV038,"60429719",CLOSE,2018-08-03 11:39:10.000,MAINT,FLOOR,FLOORTILESDML
"60602936",WTSCH,2018-08-07 07:36:51.000,2018-08-07 07:36:51.000,"038.12.012.F10.10G.BD02",FLOOR - VENDOR,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"59841544",CLOSE,2018-08-07 07:38:22.000,MAINT,FLOOR,FLOORTILESDML
"60604567",WTSCH,2018-08-07 09:19:57.000,2018-08-07 09:19:56.000,"038.05.005.F10.10F",tenant own tiles / request housing tiles,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"60407499",CLOSE,2018-08-07 09:20:02.000,MAINT,FLOOR,FLOORTILESDML
"60632469",WTSCH,2018-08-09 10:10:44.000,2018-08-09 10:10:44.000,"038.02.014.F06.06G.BTH01",needs floors,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"60462521",CLOSE,2018-08-09 10:10:51.000,MAINT,FLOOR,GROUTDML
"60326924",APPR,2018-08-10 10:39:39.000,2018-07-16 16:25:53.000,"038.02.014.F06.06G",new aps/2 hours,PAINT,NEEDSPAINTING,V10001,"1087810",APPR,Y,1,ASSESSMENT,DEV038,"59820269",CLOSE,2018-07-16 16:26:37.000,PAINTSPV,PAINT,NEEDSPAINTING
"60668217",WTSCH,2018-08-13 12:42:24.000,2018-08-13 12:42:24.000,"038.12.012.F12.12C.KIT01",FLOOR - VENDOR,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"60494098",CLOSE,2018-08-13 12:42:56.000,MAINT,FLOOR,FLOORTILESDML
"60677459",WTSCH,2018-08-14 09:18:24.000,2018-08-14 09:18:24.000,"038.04.004.F09.09H",complete apartment painted,WALLS,NEEDSPAINTING,V10001,,,Y,1,,DEV038,"60308548",CLOSE,2018-08-14 09:18:26.000,PAINTSPV,PAINT,NEEDSPAINTING
"60692172",WTSCH,2018-08-15 10:04:56.000,2018-08-15 10:04:56.000,"038.04.004.F12.12D",FLOOR - VENDOR,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"60638775",CLOSE,2018-08-15 10:05:51.000,MAINT,FLOOR,FLOORTILESDML
"60698588",WTSCH,2018-08-15 14:56:18.000,2018-08-15 14:56:18.000,"038.04.004.F12.12D.LIV01",floor tiles.damaged in livingroom,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"60638795",CLOSE,2018-08-15 14:56:21.000,MAINT,FLOOR,FLOORTILESDML
"56971507",APPR,2018-08-17 12:35:12.000,2018-02-27 09:05:53.000,"038.08.008.F14.14B",floor tiles DML,FLOOR,FLOORTILESDML,V10001,"1091099",APPR,Y,1,,DEV038,"56721073",CLOSE,2018-02-27 09:05:55.000,MAINT,FLOOR,FLOORTILESDML
"60938297",WTSCH,2018-08-21 14:09:27.000,2018-08-21 14:09:26.000,"038.05.005.F03.03D.BTH01",bed Room floor tiles needs replace,FLOOR,FLOORTILESDML,V10001,,,Y,1,,DEV038,"60639995",CLOSE,2018-08-21 14:09:32.000,MAINT,FLOOR,FLOORTILESDML
"61141614",WTSCH,2018-08-24 09:27:03.000,2018-08-24 09:27:02.000,"038.07.007.F05.05G.BTH01",enamel chipped,SINK,ENAMELCHIPPED,V10001,,,Y,1,,DEV038,"60750592",CLOSE,2018-08-24 09:27:05.000,MAINT,SINK,SINKDML
"61143687",WTSCH,2018-08-24 11:10:38.000,2018-08-24 11:10:37.000,"038.07.007.F01.01G.BTH01",needs enamel repair,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED,V10001,,,Y,1,APARTMENT,DEV038,"60657695",CLOSE,2018-08-24 11:11:15.000,MAINT,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED
"61250979",WTSCH,2018-08-27 13:57:55.000,2018-08-27 13:57:55.000,"038.12.012.F02.02A.BTH01",BATHTUBSHOWER - VENDOR,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED,V10001,,,XW,1,,DEV038,"61031652",CLOSE,2018-08-27 13:58:46.000,MAINT,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED
"56309481",APPR,2018-08-27 14:41:33.000,2018-01-11 10:00:54.000,"038.05.005.F14.14C",kumar,FLOOR,FLOORTILESDML,V10001,"1094912",APPR,Y,1,COURT,DEV038,"56218230",CLOSE,2018-01-11 10:01:00.000,MAINT,FLOOR,FLOORTILESDML
"56905463",APPR,2018-08-27 14:50:50.000,2018-02-22 14:05:30.000,"038.07.007.F02.02H",kumar,FLOOR,FLOORTILESDML,V10001,"1094927",APPR,Y,1,COURT,DEV038,"56670133",CLOSE,2018-02-22 14:08:19.000,MAINT,FLOOR,FLOORTILESDML
"61479111",WTSCH,2018-08-30 10:30:15.000,2018-08-30 10:30:13.000,"038.02.002.F05.05A.BTH01",needs tub sprayed,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED,V10001,,,W,1,,DEV038,"60933166",CLOSE,2018-08-30 10:30:47.000,MAINT,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED
"61504776",WTSCH,2018-08-31 14:26:48.000,2018-08-31 14:26:46.000,"038.06.006.F11.11E.KIT01",kitchen floor uneven / loose tiles,FLOOR,FLOORTILESDML,V10001,,,W,1,,DEV038,"61138585",CLOSE,2018-08-31 14:26:52.000,MAINT,FLOOR,FLOORTILESDML
"61558842",WTSCH,2018-09-06 11:22:26.000,2018-09-06 11:22:26.000,"038.13.013.F04.04C.BTH01",bathtub and bathroom sink needs glazing.,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED,V10001,,,XW,1,,DEV038,"61467959",CLOSE,2018-09-06 11:22:36.000,MAINT,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED
"61572504",WTSCH,2018-09-07 10:53:22.000,2018-09-07 10:53:20.000,"038.01.001.F09.09F",n needs tiles,FLOOR,FLOORTILESDML,V10001,,,W,1,,DEV038,"61374826",CLOSE,2018-09-07 10:53:27.000,MAINT,FLOOR,FLOORTILESDML
"61613617",WTSCH,2018-09-11 13:14:42.000,2018-09-11 13:14:42.000,"038.03.003.F12.12E",FLOOR - VENDOR,FLOOR,FLOORTILESDML,V10001,,,W,1,,DEV038,"61503059",CLOSE,2018-09-11 13:16:07.000,MAINT,FLOOR,FLOORTILESDML
"61700073",WTSCH,2018-09-18 10:53:40.000,2018-09-18 10:53:38.000,"038.01.001.F02.02D",needs floor in kitchen,FLOOR,FLOORTILESDML,V10001,,,W,1,,DEV038,"61589306",CLOSE,2018-09-18 10:54:04.000,MAINT,FLOOR,FLOORTILESDML
"61732187",WTSCH,2018-09-19 17:28:37.000,2018-09-19 17:28:35.000,"038.08.008.F04.04D",needs floor in bedroom,FLOOR,FLOORTILESDML,V10001,,,W,1,COURT,DEV038,"61702276",CLOSE,2018-09-19 17:28:41.000,MAINT,FLOOR,FLOORTILESDML
"54442238",APPR,2018-09-21 11:39:16.000,2017-10-11 12:17:54.000,"038.10.010.F09.09G",Entire Apt need tiles,FLOOR,FLOORTILESDML,V10001,"948388",APPR,Y,1,ASSESSMENT,DEV038,"45729593",CLOSE,2016-10-19 11:12:01.000,MAINT,FLOOR,FLOORTILESDML
"62000667",WTSCH,2018-09-27 10:39:44.000,2018-09-27 10:39:44.000,"038.11.011.F01.01C",multiple tiles missing along kitchen cabinets and stove area,FLOOR,FLOORTILESDML,V10001,,,W,1,APARTMENT,DEV038,"61948245",CLOSE,2018-09-27 10:39:49.000,MAINT,FLOOR,FLOORTILESDML
"62048283",WTSCH,2018-09-29 14:01:25.000,2018-09-29 14:01:23.000,"038.08.008.F13.13H.BTH01",needs tub painted,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED,V10001,,,W,1,,DEV038,"61959703",CLOSE,2018-09-29 14:01:42.000,MAINT,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED
"62094263",WTSCH,2018-10-02 11:33:23.000,2018-10-02 11:33:22.000,"038.09.009.F08.08C",old tiles need to be removed,FLOOR,QUARRYTILESDML,V10001,,,W,1,,DEV038,"61692508",CLOSE,2018-10-02 11:34:05.000,MAINT,FLOOR,FLOORTILESDML
"62099277",WTSCH,2018-10-02 14:37:00.000,2018-10-02 14:36:59.000,"038.07.007.F01.01A",entire apartment needs painting,PAINT,NEEDSPAINTING,V10001,,,A,1,,DEV038,"61028631",CLOSE,2018-10-02 14:37:01.000,PAINTSPV,PAINT,NEEDSPLASTERING
"62102183",WTSCH,2018-10-02 17:47:23.000,2018-10-02 17:47:23.000,"038.05.005.F11.11C.LIV01",Generic Vendor Work Plan,FLOOR,FLOORTILESDML,V10001,,,W,1,COURT,DEV038,"61463946",CLOSE,2018-09-07 13:18:37.000,MAINT,FLOOR,FLOORTILESDML
"62157620",WTSCH,2018-10-08 09:45:24.000,2018-10-08 09:45:23.000,"038.02.002.F12.12A.BD01",needs bedroom floor,FLOOR,FLOORTILESDML,V10001,,,W,1,,DEV038,"61947122",CLOSE,2018-10-08 09:45:31.000,MAINT,FLOOR,FLOORTILESDML
"62216528",WTSCH,2018-10-12 10:28:04.000,2018-10-12 10:28:03.000,"038.10.010.F08.08G",needs 80+ tiles replaced due to water dmg,FLOOR,FLOORTILESDML,V10001,,,,1,APARTMENT,DEV038,"62106264",CLOSE,2018-10-12 10:33:48.000,MAINT,FLOOR,FLOORTILESDML
"62223738",WTSCH,2018-10-12 15:12:32.000,2018-10-12 15:04:44.000,"038.07.007.F03.03E.KIT01",floor tile,FLOOR,PHASFLOOR,V10001,,,W,1,,DEV038,"62206775",CLOSE,2018-10-12 15:05:40.000,MAINT,FLOOR,FLOORTILESDML
"62239832",WTSCH,2018-10-15 09:19:37.000,2018-10-15 09:19:36.000,"038.02.014.F11.11C.BTH01",needs plastering,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED,V10001,,,W,1,,DEV038,"62196932",CLOSE,2018-10-15 09:19:49.000,MAINT,BATHTUBSHOWER,STOPPAGE
"62302232",WTSCH,2018-10-18 11:39:24.000,2018-10-18 11:08:15.000,"038.03.003.F08.08F",floors damaged tiles,FLOOR,FLOORTILESDML,V10001,,,W,1,ASSESSMENT,DEV038,"62169269",CLOSE,2018-10-18 11:08:18.000,MAINT,FLOOR,FLOORTILESDML
"62320628",WTSCH,2018-10-19 11:49:35.000,2018-10-19 11:49:35.000,"038.12.012.F04.04E",Tenant needs entire apartment retiled.,FLOOR,FLOORTILESDML,V10001,,,XW,1,,DEV038,"62182072",CLOSE,2018-10-19 11:50:46.000,MAINT,FLOOR,FLOORTILESDML
"62402727",WTSCH,2018-10-25 11:13:11.000,2018-10-25 11:13:11.000,"038.04.004.F14.14A.BD03",black tiles are in the apartment,FLOOR,FLOORTILESDML,V10001,,,W,1,ASSESSMENT,DEV038,"57543200",CLOSE,2018-10-11 20:00:37.000,MAINT,,
"62402845",WTSCH,2018-10-25 11:16:31.000,2018-10-25 11:16:29.000,"038.04.004.F14.14A.LIV01",black tiles in the apartment,FLOOR,FLOORTILESDML,V10001,,,W,1,ASSESSMENT,DEV038,"57543200",CLOSE,2018-10-11 20:00:37.000,MAINT,,
"62436072",WTSCH,2018-10-28 12:00:29.000,2018-10-28 12:00:28.000,"038.04.004.F14.14A.BD01","tiles are hazardous, need to be replaced",FLOOR,NEEDSASBESTOSTESTING,V10001,,,W,1,ASSESSMENT,DEV038,"57543200",CLOSE,2018-10-11 20:00:37.000,MAINT,,
"62441400",WTSCH,2018-10-29 08:26:18.000,2018-10-29 08:26:16.000,"038.04.004.F14.14A.FH01",floors,FLOOR,FLOORTILESDML,V10001,,,W,1,ASSESSMENT,DEV038,"57543200",CLOSE,2018-10-11 20:00:37.000,MAINT,,
"62506705",WTSCH,2018-10-30 11:39:48.000,2018-10-30 11:39:47.000,"038.10.010.F14.14A.BTH01",need tub glaze,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED,V10001,,,W,1,APARTMENT,DEV038,"62354510",CLOSE,2018-10-30 11:40:28.000,MAINT,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED
"62842236",WTSCH,2018-11-13 09:30:40.000,2018-11-13 09:30:40.000,"038.11.011.F01.01C.BTH01",needsnreglaze,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED,V10001,,,W,1,APARTMENT,DEV038,"62765698",CLOSE,2018-11-13 09:30:54.000,MAINT,BATHTUBSHOWER,ENAMELDAMAGEDRUSTED
"62857139",WTSCH,2018-11-14 08:04:50.000,2018-11-14 08:04:50.000,"038.12.012.F06.06F",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,XA,1,LBPDEFNOCU6,DEV038,"61381247",CLOSE,2018-11-14 21:02:37.000,VENDOR,,
"62858547",WTSCH,2018-11-14 09:12:48.000,2018-11-14 09:12:48.000,"038.02.014.F13.13A",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,A,1,LBPDEFNOCU6,DEV038,"61380006",CLOSE,2018-11-14 20:50:21.000,VENDOR,,
"62859094",WTSCH,2018-11-14 09:31:39.000,2018-11-14 09:31:39.000,"038.06.006.F01.01G",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,XA,1,LBPDEFNOCU6,DEV038,"61381463",CLOSE,2018-11-14 20:58:48.000,VENDOR,,
"62859517",WTSCH,2018-11-14 09:44:41.000,2018-11-14 09:44:41.000,"038.04.004.F07.07F",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,A,1,LBPDEFNOCU6,DEV038,"61378232",CLOSE,2018-11-14 20:45:20.000,VENDOR,,
"62859717",WTSCH,2018-11-14 09:50:17.000,2018-11-14 09:50:17.000,"038.02.014.F03.03H",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,A,1,LBPDEFNOCU6,DEV038,"61380275",CLOSE,2018-11-14 21:01:36.000,VENDOR,,
"62859815",WTSCH,2018-11-14 09:52:30.000,2018-11-14 09:52:30.000,"038.06.006.F03.03F",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,A,1,LBPDEFNOCU6,DEV038,"61381430",CLOSE,2018-11-14 20:40:41.000,VENDOR,,
"62860074",WTSCH,2018-11-14 10:01:14.000,2018-11-14 10:01:14.000,"038.04.004.F14.14D",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,A,1,LBPDEFNOCU6,DEV038,"61378200",CLOSE,2018-11-14 20:42:08.000,VENDOR,,
"62860768",WTSCH,2018-11-14 10:20:33.000,2018-11-14 10:20:33.000,"038.09.009.F05.05E",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,XA,1,LBPDEFNOCU6,DEV038,"61379330",CLOSE,2018-11-14 20:32:09.000,VENDOR,,
"62861668",WTSCH,2018-11-14 10:47:54.000,2018-11-14 10:47:54.000,"038.02.014.F02.02F",Amazonas 2121148-,PAINT,NEEDSPAINTING,V10001,,,A,1,LBPDEFNOCU6,DEV038,"61380323",CLOSE,2018-11-14 21:03:10.000,VENDOR,,
"62861977",WTSCH,2018-11-14 10:57:14.000,2018-11-14 10:57:14.000,"038.12.012.F08.08H",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,XA,1,LBPDEFNOCU6,DEV038,"61380913",CLOSE,2018-11-14 21:06:52.000,VENDOR,,
"62862427",WTSCH,2018-11-14 11:09:41.000,2018-11-14 11:09:41.000,"038.05.005.F09.09B",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,A,1,LBPDEFNOCU6,DEV038,"61378945",CLOSE,2018-11-14 20:52:59.000,VENDOR,,
"62862953",WTSCH,2018-11-14 11:24:06.000,2018-11-14 11:24:06.000,"038.05.005.F06.06A",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,A,1,LBPDEFNOCU6,DEV038,"61378576",CLOSE,2018-11-14 21:00:19.000,VENDOR,,
"62863055",WTSCH,2018-11-14 11:27:58.000,2018-11-14 11:27:58.000,"038.13.013.F14.14H",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,A,1,LBPDEFNOCU6,DEV038,"61377700",CLOSE,2018-11-14 20:59:08.000,VENDOR,,
"61131175",APPR,2018-11-14 11:29:42.000,2018-08-23 11:03:37.000,"038.04.004.F12.12D",new aps,PAINT,NEEDSPAINTING,V10001,,APPR,Y,1,COURT,DEV038,"59190565",CLOSE,2018-08-23 11:04:22.000,PAINTSPV,PAINT,NEEDSPAINTING
"62863290",WTSCH,2018-11-14 11:34:38.000,2018-11-14 11:34:38.000,"038.06.006.F13.13C",Generic Vendor Work Plan,PAINT,NEEDSPAINTING,V10001,,,A,1,LBPDEFNOCU6,DEV038,"61381488",CLOSE,2018-11-14 20:44:55.000,VENDOR,,
"62224339",APPR,2018-11-14 11:42:39.000,2018-10-12 15:40:48.000,"038.12.012.F07.07C",Needs kitchen and bathroom painted.,PAINT,NEEDSPAINTING,M10357,,APPR,XA,1,COURT,DEV038,"62214984",CLOSE,2018-10-12 15:40:51.000,MAINT,WALLS,NEEDSPAINTING
